BUATAN,TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,Count(DOSM_ID),CAR_AGE,PRICE(RM)
SSANGYONG,2004,STAVIC,56,20,6800
MITSUBISHI,2004,STORM,52,20,21800
HONDA,2004,STREAM,866,20,20592.85714
AUDI,2004,TT,21,20,59888
TOYOTA,2004,UNSER,7804,20,15122.8
NISSAN,2004,VANETTE,2442,20,20312.5
TOYOTA,2004,VIOS,15261,20,15978.625
PROTON,2004,WAJA,25772,20,7276
HONDA,2004,WALD,128,20,18000
TOYOTA,2004,WALD,705,20,18000
PROTON,2004,WIRA,32046,20,6581.333333
TOYOTA,2004,WISH,5069,20,28596.75676
NISSAN,2004,X-TRAIL,2675,20,13535.5
BMW,2004,X3,106,20,19368.8
